anno_vigencia,mes_vigencia,tipo_carga,sum_importacion,sum_exportacion,sum_transbordo
2021,11,GRANEL LIQUIDO,57751,16100,0
2021,11,GRANEL SOLIDO DIFER. DE CARBON,485044,0,0
2021,12,CARBON AL GRANEL,23393,22605,0
2021,12,CONTENEDORES,639589,235296,144245
2021,12,GENERAL,114992,6837,4412
2021,12,GRANEL LIQUIDO,76144,0,0
2021,12,GRANEL SOLIDO DIFER. DE CARBON,542477,5121,0
2022,1,CARBON AL GRANEL,9325,85832,0
2022,1,CONTENEDORES,568020,183895,58246
2022,1,GENERAL,156662,0,1751
2022,1,GRANEL LIQUIDO,59750,0,0
2022,1,GRANEL SOLIDO DIFER. DE CARBON,474783,0,0
2022,2,CARBON AL GRANEL,0,83634,0
2022,2,CONTENEDORES,527571,230109,168729
2022,2,GENERAL,63148,0,5102
2022,2,GRANEL LIQUIDO,64702,0,0
2022,2,GRANEL SOLIDO DIFER. DE CARBON,405980,5000,0
2022,3,CARBON AL GRANEL,0,146329,0
2022,3,CONTENEDORES,561002,270241,42339
2022,3,GENERAL,140172,25233,2200
2022,3,GRANEL LIQUIDO,98246,0,0
2022,3,GRANEL SOLIDO DIFER. DE CARBON,614476,10500,0
2022,4,CARBON AL GRANEL,0,79200,0
2022,4,CONTENEDORES,453400,198434,30288
2022,4,GENERAL,109022,0,2
2022,4,GRANEL LIQUIDO,51891,1493,0
2022,4,GRANEL SOLIDO DIFER. DE CARBON,566179,0,0
2022,5,CARBON AL GRANEL,0,66756,0
2022,5,CONTENEDORES,484839,220769,47790
2022,5,GENERAL,151852,743,1534
2022,5,GRANEL LIQUIDO,12762,0,0
2022,5,GRANEL SOLIDO DIFER. DE CARBON,490741,0,0
2022,6,CARBON AL GRANEL,0,47016,0
2022,6,CONTENEDORES,564491,241797,47507
2022,6,GENERAL,107131,76238,2788
2022,6,GRANEL LIQUIDO,49076,9499,0
2022,6,GRANEL SOLIDO DIFER. DE CARBON,455991,0,0
2022,7,CARBON AL GRANEL,0,86144,0
2022,7,CONTENEDORES,575436,220134,96248
2022,7,GENERAL,147382,0,2611
2022,7,GRANEL LIQUIDO,36583,4500,0
2022,7,GRANEL SOLIDO DIFER. DE CARBON,458308,10300,0
2022,8,CARBON AL GRANEL,0,129301,0
2022,8,CONTENEDORES,651897,232681,64382
2022,8,GENERAL,122284,0,254
2022,8,GRANEL LIQUIDO,37760,998,0
2022,8,GRANEL SOLIDO DIFER. DE CARBON,404366,0,0
2022,9,CARBON AL GRANEL,0,101700,0
2022,9,CONTENEDORES,545404,240084,74177
2022,9,GENERAL,120706,16736,3807
2022,9,GRANEL LIQUIDO,50448,0,0
2022,9,GRANEL SOLIDO DIFER. DE CARBON,464170,0,0
2022,10,CARBON AL GRANEL,0,99596,0
2022,10,CONTENEDORES,502261,257216,61869
2022,10,GENERAL,168780,0,0
2022,10,GRANEL LIQUIDO,40816,23594,0
2022,10,GRANEL SOLIDO DIFER. DE CARBON,388359,10146,0
2022,11,CARBON AL GRANEL,0,39494,0
2022,11,CONTENEDORES,641413,252163,71761
2022,11,GENERAL,141592,8217,370
2022,11,GRANEL LIQUIDO,22000,1494,0
2022,11,GRANEL SOLIDO DIFER. DE CARBON,390474,79568,0
2022,12,CARBON AL GRANEL,0,79450,0
2022,12,CONTENEDORES,493721,240145,65413
2022,12,GENERAL,76885,7934,632
2022,12,GRANEL LIQUIDO,36036,0,0
2022,12,GRANEL SOLIDO DIFER. DE CARBON,477660,139559,0
2023,1,CARBON AL GRANEL,0,79063,0
2023,1,CONTENEDORES,462214,194619,69787
2023,1,GENERAL,123506,0,0
2023,1,GRANEL LIQUIDO,19673,0,0
2023,1,GRANEL SOLIDO DIFER. DE CARBON,386290,18466,0
2023,2,CARBON AL GRANEL,0,150888,0
2023,2,CONTENEDORES,495747,236874,61391
2023,2,GENERAL,148641,45,0
2023,2,GRANEL LIQUIDO,16685,11471,0
